season,team_id,team_name,games,pass_att,completions,pass_yards,pass_td,interceptions,rush_att,rush_yards,rush_td,yards_per_reception,td_per_reception,qb_rush,rb_rush,other_rush,model_version
2026,CFF_NW,Northwestern,12.0,362.2569,213.0908,2314.3051,15.582,10.3976,398.9709,1716.6173,16.7735,10.8607,0.0731,71.5297,288.3631,39.0781,v1.0
2026,CFF_OSU,Ohio State,12.0,349.7907,255.4714,3179.0282,24.5042,7.8011,404.028,1884.4824,21.4341,12.4438,0.0959,59.3721,326.9205,17.7354,v1.0
2026,CFF_ORE,Oregon,12.0,362.8254,257.0906,3108.0868,22.7977,7.8578,434.0852,2143.8979,23.8817,12.0895,0.0887,71.1196,341.9093,21.0564,v1.0
2026,CFF_PSU,Penn State,12.0,336.1684,213.3528,2569.2587,17.9354,8.15,436.2019,2079.6317,23.3326,12.0423,0.0841,91.0136,321.92,23.2683,v1.0
2026,CFF_PUR,Purdue,12.0,381.5628,226.3416,2526.6494,16.8551,10.6045,373.2149,1564.4946,15.119,11.163,0.0745,110.141,252.9562,10.1178,v1.0
2026,CFF_RUTG,Rutgers,12.0,374.1347,235.5542,2775.4626,18.7989,7.8096,462.6123,1838.2375,22.0721,11.7827,0.0798,79.0949,376.1989,7.3185,v1.0
2026,CFF_UCLA,UCLA,12.0,372.637,237.7401,2497.0956,17.37,8.7019,381.96,1574.0142,13.2544,10.5035,0.0731,108.1957,261.1775,12.5868,v1.0
2026,CFF_USC,USC,12.0,411.3483,267.9333,3389.8795,23.4772,10.2805,379.326,1939.0964,21.3416,12.652,0.0876,59.1416,305.3886,14.7959,v1.0
2026,CFF_WASH,Washington,12.0,355.3111,243.5782,2937.5607,21.3591,7.974,415.4706,1853.9493,20.7449,12.06,0.0877,128.774,275.1614,11.5352,v1.0
2026,CFF_WISC,Wisconsin,12.0,303.6632,181.958,2043.8861,13.4833,9.7443,421.8145,1645.5667,17.4657,11.2327,0.0741,93.327,288.4441,40.0434,v1.0
2026,CFF_ARIZ,Arizona,12.0,415.5028,259.3714,3028.3627,23.116,9.6593,399.2246,1693.4058,17.7859,11.6758,0.0891,100.58,279.5354,19.1092,v1.0
2026,CFF_ASU,Arizona State,12.0,376.8487,238.2565,2810.3246,20.2599,9.9861,463.1502,2210.0576,21.7821,11.7954,0.085,105.6917,337.7552,19.7033,v1.0
2026,CFF_BAY,Baylor,12.0,461.9642,282.6002,3500.9367,28.0753,11.1367,422.5671,1850.2788,18.8216,12.3883,0.0993,65.5606,349.2166,7.79,v1.0
2026,CFF_BYU,BYU,12.0,349.0801,217.6706,2689.5299,16.3697,8.5637,440.417,2059.3204,23.1536,12.356,0.0752,121.712,277.0826,41.6224,v1.0
2026,CFF_CIN,Cincinnati,12.0,353.5993,224.282,2663.9961,19.7162,7.5318,388.5782,1982.1041,18.9977,11.8779,0.0879,109.4208,263.3389,15.8184,v1.0
2026,CFF_COLO,Colorado,12.0,380.3049,241.4142,2857.7106,21.4919,9.7735,393.5691,1447.8402,17.9193,11.8374,0.089,122.4932,223.1361,47.9397,v1.0
2026,CFF_HOU,Houston,12.0,333.1797,214.1569,2413.3833,18.4761,10.8141,475.5481,1999.0319,18.554,11.2692,0.0863,167.3277,289.7843,18.4361,v1.0
2026,CFF_ISU,Iowa State,12.0,366.8721,223.426,2515.2271,15.3556,9.099,449.2108,1979.389,22.2855,11.2575,0.0687,85.8525,345.508,17.8503,v1.0
2026,CFF_KU,Kansas,12.0,337.7827,217.1022,2393.7977,18.4258,7.8735,432.145,2100.3869,21.7068,11.0261,0.0849,111.8414,302.2057,18.0979,v1.0
2026,CFF_KSU,Kansas State,12.0,354.2972,213.1505,2527.7662,19.6967,8.3108,408.9001,2186.2836,20.9365,11.8591,0.0924,118.6729,273.9069,16.3203,v1.0
2026,CFF_OKST,Oklahoma State,12.0,384.0579,245.0112,3044.5698,20.2043,9.8553,398.7393,1588.0847,17.7879,12.4262,0.0825,67.8166,299.1821,31.7406,v1.0
2026,CFF_TCU,TCU,12.0,425.7071,276.5526,3345.8089,24.2954,10.959,392.1975,1585.1495,20.3182,12.0983,0.0879,79.5219,284.5067,28.1689,v1.0
