id,name,team,position,aliases,espn_id,rank,depth_pos,depth_order,injury_status,years_exp,age,adp,adp_stdev
nfl-7836,Tony Fields,CHI,LB,,,9999999,LB,,,5,27,,
nfl-11732,Tory Taylor,CHI,P,,,9999999,P,,,2,29,,
nfl-10897,Tyrique Stevenson,CHI,CB,,,9999999,LCB,1,,3,26,,
nfl-11256,Tyson Bagent,CHI,QB,,,412,QB,2,,3,26,,
nfl-14030,Wayne Matthews,CHI,LB,,,9999999,LB,,,0,24,,
nfl-13411,Zavion Thomas,CHI,WR,,,9999999,WR,4,,0,22,,
nfl-11666,Amarius Mims,CIN,OL,,,9999999,OL,,,2,23,,
nfl-10226,Andrei Iosivas,CIN,WR,,,999,WR,3,,3,26,,
nfl-11854,Andrew Coker,CIN,OL,,,9999999,OL,,,2,25,,
nfl-12697,Antwaun Powell-Ryland,CIN,DE,,,9999999,LB,,,1,24,,
nfl-5020,B.J. Hill,CIN,DT,BJ Hill,3116748,999,LDT,2,PUP,8,31,,
nfl-12646,Barrett Carter,CIN,LB,,,999,MLB,1,,1,23,,
nfl-8343,Boye Mafe,CIN,DL,,,505,RDE,1,,4,27,,
nfl-13083,Bralyn Lux,CIN,DB,,,9999999,NB,3,,1,25,,
nfl-13546,Brian Parker,CIN,OT,,,9999999,OL,,,0,22,,
nfl-8294,Bryan Cook,CIN,DB,,,9999999,FS,1,,4,26,,
nfl-12062,Cam Grandy,CIN,TE,,,999,TE,6,Questionable,2,26,,
nfl-13364,Cashius Howell,CIN,DL,,,193,LDE,2,,0,23,,
nfl-11785,Cedric Johnson,CIN,DE,,,9999999,RDE,3,,2,23,,
nfl-13720,Ceyair Wright,CIN,CB,,,9999999,DB,,,0,23,,
nfl-10228,Charlie Jones,CIN,WR,,,999,WR,6,,3,27,,
nfl-9224,Chase Brown,CIN,RB,,,16,RB,1,,3,26,12.3,2.2
nfl-13947,Christian Jones,CIN,OT,,,9999999,OL,,,0,,,
nfl-5856,Cody Ford,CIN,OL,,3707061,9999999,OL,,,7,29,,
nfl-13477,Colbie Young,CIN,WR,,,9999999,WR,4,,0,24,,
nfl-13486,Connor Lew,CIN,C,,,9999999,OL,,,0,20,,
nfl-13719,Corey Robinson,CIN,OL,,,9999999,OL,,,0,,,
nfl-11032,DJ Ivey,CIN,CB,D.J. Ivey,,9999999,RCB,2,,3,26,,
nfl-10894,DJ Turner,CIN,DB,D.J. Turner,,999,WR,14,,3,25,,
nfl-11831,Daijahn Anthony,CIN,DB,,,9999999,FS,2,,2,25,,
nfl-5867,Dalton Risner,CIN,G,,3125082,9999999,OL,,,7,31,,
nfl-8286,Dax Hill,CIN,DB,,,9999999,LCB,1,,4,25,,
nfl-12617,Demetrius Knight,CIN,LB,,,361,LOLB,1,,1,26,,
nfl-5847,Dexter Lawrence,CIN,DT,,4035483,325,RDT,1,,7,28,,
nfl-13264,Dohnte Meyers,CIN,WR,,,9999999,WR,11,,3,26,,
nfl-6001,Drew Sample,CIN,TE,,3127310,999,TE,2,,7,30,,
nfl-12627,Dylan Fairchild,CIN,OL,,,9999999,OL,,,1,23,,
nfl-13718,Eric Gentry,CIN,LB,,,9999999,LB,,,0,23,,
nfl-11592,Erick All,CIN,TE,,,999,TE,3,,2,25,,
nfl-7839,Evan McPherson,CIN,K,,,206,K,1,,5,27,169.6,14.0
nfl-7529,Gary Brightwell,CIN,RB,,,9999999,RB,4,,5,28,,
nfl-12751,Howard Cross,CIN,DT,,,9999999,DL,,,1,25,,
nfl-10909,Isaiah Foskey,CIN,DL,,,9999999,LDE,3,,3,25,,
nfl-7564,Ja'Marr Chase,CIN,WR,,,3,WR,1,,5,26,3.9,1.0
nfl-8481,Ja'Sir Taylor,CIN,DB,,,9999999,RCB,3,,4,27,,
nfl-13721,Jack Dingle,CIN,LB,,,9999999,LB,,,0,23,,
nfl-13282,Jack Endries,CIN,TE,,,999,TE,5,,0,22,,
nfl-12759,Jacob Bayer,CIN,C,,,9999999,OL,,,1,23,,
nfl-5222,Jalen Davis,CIN,CB,,3125356,9999999,NB,1,,8,30,,
nfl-13059,Jalen Kimber,CIN,CB,,,9999999,LCB,3,,1,25,,
nfl-12674,Jalen Rivers,CIN,OL,,,9999999,OL,,,1,23,,
nfl-13946,Jamal Haynes,CIN,RB,,,9999999,RB,7,,0,23,,
nfl-11737,Javon Foster,CIN,OL,,,9999999,OL,,,2,26,,
nfl-6770,Joe Burrow,CIN,QB,,3915511,11,QB,1,,6,29,57.5,8.4
nfl-19,Joe Flacco,CIN,QB,,11252,999,QB,2,,18,41,,
nfl-6105,Joe Giles-Harris,CIN,LB,,3917797,9999999,ROLB,2,,7,29,,
nfl-4032,Jonathan Allen,CIN,DT,,3054840,999,LDT,1,,9,31,,
nfl-10927,Jordan Battle,CIN,DB,,,999,SS,1,,3,25,,
nfl-11736,Jordan Jefferson,CIN,DT,,,9999999,DL,,,2,24,,
nfl-12761,Jordan Moore,CIN,WR,,,9999999,WR,8,,1,24,,
nfl-260,Josh Johnson,CIN,QB,,11394,999,QB,3,,18,40,,
nfl-13312,Josh Kattus,CIN,TE,,,999,TE,7,PUP,0,,,
nfl-11764,Josh Newton,CIN,CB,,,9999999,NB,2,,2,25,,
nfl-12971,Ke'Shawn Williams,CIN,WR,,,999,WR,7,,1,24,,
nfl-11649,Kendall Milton,CIN,RB,,,999,RB,5,,2,24,,
nfl-8783,Kendric Pryor,CIN,WR,,,9999999,WR,9,,4,28,,
nfl-13436,Kentrel Bullock,CIN,RB,,,9999999,RB,6,,0,24,,
nfl-11688,Kris Jenkins,CIN,DL,,,9999999,DL,,Questionable,2,24,,
nfl-6872,Kyle Dugger,CIN,DB,,4401811,999,SS,2,,6,30,,
nfl-13574,Landon Robinson,CIN,NT,,,9999999,DL,,,0,23,,
nfl-11281,Liam Anderson,CIN,LB,,,9999999,LOLB,2,,3,26,,
nfl-13948,Liam Brown,CIN,OG,,,9999999,OL,,,0,,,
nfl-11713,McKinnley Jackson,CIN,DL,,,9999999,LDT,3,,2,24,,
nfl-4993,Mike Gesicki,CIN,TE,,3116164,999,TE,1,,8,30,,
nfl-11068,Mitch Tinsley,CIN,WR,,,999,WR,5,,3,26,,
nfl-10875,Myles Murphy,CIN,DL,,,9999999,LDE,1,,3,24,,
nfl-13318,Noah Thomas,CIN,WR,,,999,WR,12,,0,22,,
nfl-5031,Oren Burks,CIN,LB,,3051746,9999999,ROLB,1,,8,31,,
nfl-4948,Orlando Brown,CIN,T,,3116370,9999999,OL,,,8,30,,
nfl-12058,PJ Jules,CIN,DB,P.J. Jules,,9999999,SS,3,,2,25,,
nfl-8510,Russ Yeast,CIN,DB,,,9999999,DB,,,4,27,,
nfl-12163,Ryan Rehkow,CIN,P,,,9999999,P,,,2,27,,
nfl-4147,Samaje Perine,CIN,RB,,3116389,999,RB,2,,9,30,166.7,17.1
nfl-10983,Sean Clifford,CIN,QB,,,999,QB,4,,3,28,,
nfl-11251,Shaka Heyward,CIN,LB,,,9999999,MLB,2,,3,26,,
nfl-12560,Shemar Stewart,CIN,DL,,,999,RDE,2,Questionable,1,22,,
nfl-12255,Swayze Bozeman,CIN,LB,,,9999999,LB,,,2,27,,
nfl-7818,T.J. Slaton,CIN,DT,TJ Slaton,,9999999,RDT,2,,5,28,,
nfl-13469,Tacario Davis,CIN,CB,,,9999999,LCB,2,,0,21,,
nfl-12543,Tahj Brooks,CIN,RB,,,999,RB,3,,1,24,,
nfl-5409,Tanner Hudson,CIN,TE,,3050481,999,TE,4,,8,31,,
nfl-3376,Ted Karras,CIN,OL,,2576188,9999999,OL,,,10,33,,
nfl-6801,Tee Higgins,CIN,WR,,4239993,36,WR,2,,6,27,39.4,4.1
nfl-13086,William Wagner,CIN,LS,,,9999999,LS,,,1,25,,
nfl-11969,Xavier Johnson,CIN,WR,,,999,WR,10,,2,27,,
nfl-13104,Adin Huntington,CLE,DT,,,9999999,LDT,3,,1,24,,
nfl-12797,Ahmani Marshall,CLE,RB,,,999,RB,4,,1,24,,
nfl-8376,Alex Wright,CLE,DL,,,9999999,LDE,1,,4,25,,
nfl-11261,Andre Szmyt,CLE,K,,,319,K,1,,4,27,,
nfl-13473,Austin Barber,CLE,OT,,,9999999,OL,,,0,23,,
nfl-8746,Benton Whitley,CLE,DE,,,9999999,DL,,,4,27,,
nfl-11201,Blake Whiteheart,CLE,TE,,,999,TE,4,,3,26,,
nfl-12374,Brenden Bates,CLE,TE,,,999,TE,6,,2,26,,
nfl-13580,Carsen Ryan,CLE,TE,,,9999999,TE,5,,0,22,,
nfl-12578,Carson Schwesinger,CLE,LB,,,99,MLB,1,,1,23,,
nfl-10444,Cedric Tillman,CLE,WR,,,999,WR,4,,3,26,,
nfl-11916,Christopher Edmonds,CLE,DB,,,9999999,DB,,,2,25,,
nfl-5721,Corey Bojorquez,CLE,P,,4039396,9999999,P,,,8,29,,
nfl-13114,Coziah Izzard,CLE,DT,,,9999999,DL,,,1,24,,
nfl-6476,D'Angelo Ross,CLE,DB,,3139389,9999999,RCB,2,,7,29,,
nfl-8386,Damarri Mathis,CLE,DB,,,9999999,DB,,,4,27,,
nfl-7053,Daniel Thomas,CLE,DB,,4035505,9999999,SS,2,,6,28,,
nfl-13339,Davon Booth,CLE,RB,,,999,RB,5,,0,24,,
nfl-10956,Dawand Jones,CLE,OL,,,9999999,OL,,,3,24,,
nfl-13346,Denzel Boston,CLE,WR,,,144,WR,3,,0,22,156.2,16.2
nfl-4964,Denzel Ward,CLE,CB,,3915535,999,LCB,1,,8,29,,
nfl-4017,Deshaun Watson,CLE,QB,,3122840,397,QB,1,,9,30,,
nfl-12486,Dillon Gabriel,CLE,QB,,,999,QB,3,,1,25,,
nfl-12783,Donovan McMillon,CLE,DB,,,9999999,,,,1,24,,
nfl-12469,Dylan Sampson,CLE,RB,,,129,RB,2,,1,21,162.2,15.1
nfl-13165,Easton Mascarenas-Arnold,CLE,LB,,,9999999,LOLB,3,,1,23,,
nfl-11757,Edefuan Ulofoshio,CLE,LB,,,9999999,ROLB,2,,2,26,,
nfl-5877,Elgton Jenkins,CLE,G,,3115485,9999999,OL,,,7,30,,
nfl-12319,Elijah Chatman,CLE,DT,,,9999999,DL,,,2,25,,
nfl-13360,Emmanuel McNeil-Warren,CLE,DB,,,192,FS,2,,0,22,,
nfl-13101,Gage Larvadain,CLE,WR,,,999,WR,9,,1,24,,
nfl-6799,Grant Delpit,CLE,DB,,4242208,333,SS,1,,6,27,,
nfl-12506,Harold Fannin,CLE,TE,,,63,TE,1,,1,22,80.1,8.2
nfl-12503,Isaiah Bond,CLE,WR,,,999,WR,5,,1,22,,
nfl-10943,Isaiah McGuire,CLE,DL,,,999,LDE,2,,3,25,,
nfl-13954,Izavion Miller,CLE,G,,,9999999,OL,,,0,,,
nfl-7946,Jack Stoll,CLE,TE,,,9999999,TE,3,,5,28,,
nfl-11633,Jamari Thrash,CLE,WR,,,999,WR,8,,2,25,,
